"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency","decision","comment"
"only_in_sheet","united states of america	los angeles airport lax	las vegas	suv","3879","","United States of America","Los Angeles Airport (LAX)","Las Vegas","SUV","5","661","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	long beach california	business class car","3880","","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Business class car","3","55","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	long beach california	businessvan 6 pax","3881","","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Businessvan 6 pax","6","86","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	long beach california	suv","3886","","United States of America","Los Angeles Airport (LAX)","Long Beach, California","SUV","5","44","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	los angeles downtown	business class car","3887","","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Business class car","3","55","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	los angeles downtown	businessvan 6 pax","3888","","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Businessvan 6 pax","6","86","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	los angeles downtown	suv","3893","","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","SUV","5","44","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	santa monica	business class car","3936","","United States of America","Los Angeles Airport (LAX)","Santa Monica","Business class car","3","55","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	santa monica	businessvan 6 pax","3937","","United States of America","Los Angeles Airport (LAX)","Santa Monica","Businessvan 6 pax","6","86","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
"only_in_sheet","united states of america	los angeles airport lax	santa monica	suv","3942","","United States of America","Los Angeles Airport (LAX)","Santa Monica","SUV","5","43","","EUR","","archive_exclude_from_eto","User said LA Business class car, Businessvan 6 pax, and SUV routes can be archived; exclude from ETO import working set."
