"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency","decision","comment"
"price_set_mismatch","united states of america	los angeles airport lax	los angeles downtown	standard class car","3890","cmm3d3o9r031gk8pp8lme6coe","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	los angeles downtown	standard e vehicle 3 pax","3891","cmm3d3o9r031hk8ppl81wfk15","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	los angeles downtown	standard mpv","3892","cmm3d3o9r031ik8ppax4i16w9","United States of America","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard MPV","5","44.00 EUR","67.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"only_in_db","united states of america	los angeles airport lax	port of los angeles	standard class car","","cmou59jm20001u2jor972hukg","United States of America","Los Angeles Airport (LAX)","Port of Los Angeles","Standard class car","3","","67","","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"only_in_db","united states of america	los angeles airport lax	port of los angeles	standard e vehicle 3 pax","","cmou59jmj0005u2jorqu5ml8i","United States of America","Los Angeles Airport (LAX)","Port of Los Angeles","Standard e-vehicle 3 pax","3","","155","","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"only_in_db","united states of america	los angeles airport lax	port of los angeles	standard mpv","","cmou59jmc0003u2jox9b5mibv","United States of America","Los Angeles Airport (LAX)","Port of Los Angeles","Standard MPV","5","","78","","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"only_in_db","united states of america	los angeles airport lax	san diego	standard class car","","cmou59jmr0007u2joxa2r8k02","United States of America","Los Angeles Airport (LAX)","San Diego","Standard class car","3","","310","","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"only_in_db","united states of america	los angeles airport lax	san diego	standard e vehicle 3 pax","","cmou59jn5000bu2joy4k73eue","United States of America","Los Angeles Airport (LAX)","San Diego","Standard e-vehicle 3 pax","3","","443","","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"only_in_db","united states of america	los angeles airport lax	san diego	standard mpv","","cmou59jmy0009u2jojvdz21co","United States of America","Los Angeles Airport (LAX)","San Diego","Standard MPV","5","","332","","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	santa monica	standard class car","3939","cmm3d3o9s032tk8ppd62gxqgz","United States of America","Los Angeles Airport (LAX)","Santa Monica","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	santa monica	standard e vehicle 3 pax","3940","cmm3d3o9s032uk8ppdmvv3qc6","United States of America","Los Angeles Airport (LAX)","Santa Monica","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	santa monica	standard mpv","3941","cmm3d3o9s032vk8ppppfl8bnu","United States of America","Los Angeles Airport (LAX)","Santa Monica","Standard MPV","5","43.00 EUR","67.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
